epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.43,1.97107,2.65494,1.49064,0.42846,0.42276,0.37428,0.10506,2.33028,2.04259,1.60127,0.00333086,0.00333086,0.00333086
2,312.379,1.84547,1.98677,1.38434,0.55718,0.53769,0.54418,0.23866,1.87871,1.62592,1.32006,0.00666088,0.00666088,0.00666088
3,461.856,1.84205,1.88954,1.36941,0.61194,0.49227,0.54352,0.18318,2.13895,1.67103,1.46529,0.00997761,0.00997761,0.00997761
4,610.978,1.83967,1.82614,1.36814,0.64627,0.56747,0.6034,0.27713,1.83336,1.47791,1.29948,0.0099552,0.0099552,0.0099552
5,764.552,1.81653,1.71856,1.35567,0.68337,0.56232,0.63317,0.28474,1.88797,1.44911,1.29898,0.00992045,0.00992045,0.00992045
6,918.494,1.79711,1.63913,1.34421,0.71142,0.57795,0.65684,0.32253,1.78993,1.43942,1.26958,0.00987589,0.00987589,0.00987589
7,1068.69,1.7784,1.57481,1.32779,0.70186,0.61255,0.68591,0.32507,1.81146,1.32773,1.26289,0.00982162,0.00982162,0.00982162
8,1221.22,1.76776,1.51879,1.31695,0.75433,0.66023,0.71632,0.37562,1.68233,1.24146,1.20733,0.00975773,0.00975773,0.00975773
9,1371.33,1.75442,1.47653,1.30896,0.75125,0.63682,0.70795,0.33478,1.78788,1.32938,1.25617,0.00968436,0.00968436,0.00968436
10,1522.48,1.73925,1.432,1.29604,0.75004,0.66164,0.73417,0.37557,1.69971,1.23365,1.21357,0.00960166,0.00960166,0.00960166
11,1672.51,1.73087,1.40123,1.29323,0.73809,0.66978,0.72483,0.3885,1.62561,1.17039,1.18218,0.0095098,0.0095098,0.0095098
12,1821.27,1.72392,1.36679,1.28567,0.79901,0.66435,0.74742,0.37649,1.71829,1.2127,1.22844,0.00940895,0.00940895,0.00940895
13,1976.82,1.71031,1.33846,1.2758,0.8122,0.6757,0.75455,0.41311,1.60286,1.16459,1.18087,0.00929932,0.00929932,0.00929932
