epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,96.447,0.26177,0.36152,0.88646,0.75802,0.94712,0.76454,0.71697,0.30018,0.60216,0.85703,0.005446,0.005446,0.005446
140,192.449,0.27985,0.37563,0.89022,0.75291,0.96635,0.76678,0.71946,0.30114,0.60794,0.8609,0.005413,0.005413,0.005413
139,97.8688,0.26491,0.36447,0.88846,0.74951,0.96635,0.76433,0.71527,0.30272,0.60282,0.86,0.005446,0.005446,0.005446
140,194.601,0.28362,0.38349,0.89435,0.74891,0.96875,0.76273,0.71589,0.29623,0.60299,0.85417,0.005413,0.005413,0.005413
141,291.177,0.28455,0.38187,0.8959,0.74881,0.96875,0.76219,0.71751,0.29577,0.60482,0.85304,0.00538,0.00538,0.00538
142,388.181,0.28309,0.38135,0.89459,0.74875,0.96875,0.76269,0.71484,0.30592,0.60537,0.86468,0.005347,0.005347,0.005347
143,484.765,0.29298,0.38898,0.89971,0.74809,0.96875,0.76135,0.71457,0.30228,0.60819,0.85995,0.005314,0.005314,0.005314
144,581.078,0.2884,0.38445,0.89773,0.7635,0.94676,0.76223,0.71636,0.30671,0.61116,0.86257,0.005281,0.005281,0.005281
145,677.675,0.28749,0.38847,0.89578,0.76246,0.94905,0.76335,0.71702,0.30685,0.6127,0.85938,0.005248,0.005248,0.005248
146,774.944,0.28527,0.38683,0.89282,0.7633,0.95433,0.76161,0.71593,0.30237,0.61772,0.85298,0.005215,0.005215,0.005215
147,871.228,0.27907,0.38081,0.89027,0.7629,0.95433,0.76175,0.71472,0.30303,0.61559,0.85564,0.005182,0.005182,0.005182
148,967.634,0.28461,0.37733,0.89383,0.75755,0.95433,0.76106,0.71454,0.30526,0.61203,0.85515,0.005149,0.005149,0.005149
149,1064.29,0.27983,0.38374,0.89399,0.75697,0.95433,0.75801,0.71479,0.30675,0.60545,0.8562,0.005116,0.005116,0.005116
150,1160.57,0.28072,0.38857,0.8965,0.75082,0.96875,0.76025,0.71537,0.29826,0.60645,0.84844,0.005083,0.005083,0.005083
151,1257.37,0.27748,0.37831,0.89143,0.75142,0.96875,0.75872,0.71462,0.29864,0.60444,0.85104,0.00505,0.00505,0.00505
152,1353.86,0.27527,0.37567,0.88811,0.75812,0.96875,0.75879,0.71364,0.29941,0.60161,0.8524,0.005017,0.005017,0.005017
153,1450.45,0.27342,0.37757,0.89209,0.76037,0.96871,0.76049,0.71337,0.29673,0.59998,0.8505,0.004984,0.004984,0.004984
154,1547.43,0.27925,0.3807,0.89401,0.7591,0.96635,0.76211,0.71737,0.2956,0.59874,0.85116,0.004951,0.004951,0.004951
155,1644.03,0.27477,0.37979,0.89396,0.76008,0.96717,0.76223,0.71559,0.29477,0.60003,0.84943,0.004918,0.004918,0.004918
156,1740.87,0.27541,0.38202,0.89043,0.76005,0.96703,0.76428,0.71696,0.29596,0.59751,0.85028,0.004885,0.004885,0.004885
157,1837.38,0.27185,0.37582,0.89243,0.76,0.96673,0.76422,0.71663,0.29555,0.59534,0.85007,0.004852,0.004852,0.004852
158,1934.43,0.27035,0.37263,0.89168,0.76014,0.96749,0.76423,0.71835,0.29651,0.59839,0.85085,0.004819,0.004819,0.004819
159,2031.15,0.26878,0.37176,0.89143,0.7591,0.96635,0.76392,0.71753,0.29668,0.59832,0.85184,0.004786,0.004786,0.004786
160,2127.79,0.27234,0.38129,0.88952,0.76013,0.96742,0.76673,0.7192,0.2953,0.5996,0.85045,0.004753,0.004753,0.004753
161,2224.33,0.27464,0.36674,0.89406,0.75842,0.96875,0.76397,0.71783,0.29542,0.59784,0.85103,0.00472,0.00472,0.00472
162,2321.27,0.26924,0.37872,0.88776,0.75826,0.96875,0.76315,0.71822,0.29916,0.59671,0.85349,0.004687,0.004687,0.004687
163,2417.56,0.27124,0.37059,0.8843,0.75795,0.96353,0.76369,0.71962,0.29732,0.59916,0.85268,0.004654,0.004654,0.004654
164,2514.14,0.26497,0.36958,0.884,0.75786,0.96304,0.76261,0.71954,0.29627,0.59823,0.85068,0.004621,0.004621,0.004621
165,2610.76,0.26829,0.37057,0.88424,0.77056,0.95433,0.76351,0.71814,0.29762,0.59899,0.85271,0.004588,0.004588,0.004588
166,2707.9,0.26501,0.36618,0.88611,0.76112,0.95433,0.76349,0.71831,0.2974,0.60021,0.85356,0.004555,0.004555,0.004555
167,2804.36,0.26502,0.37492,0.8902,0.75766,0.95447,0.76337,0.71849,0.29212,0.6001,0.84672,0.004522,0.004522,0.004522
168,2900.94,0.26599,0.37062,0.88436,0.75778,0.96259,0.76295,0.7196,0.29346,0.6008,0.84884,0.004489,0.004489,0.004489
169,2997.59,0.26291,0.3677,0.88647,0.76194,0.95433,0.76375,0.71795,0.29954,0.60117,0.85704,0.004456,0.004456,0.004456
170,3093.37,0.25582,0.3674,0.87958,0.76211,0.95491,0.76159,0.71531,0.29999,0.60031,0.85832,0.004423,0.004423,0.004423
171,3190.01,0.2668,0.37093,0.88826,0.76744,0.95433,0.76575,0.71589,0.30045,0.59864,0.8573,0.00439,0.00439,0.00439
172,3286.81,0.26282,0.36965,0.88526,0.7677,0.95433,0.76787,0.71569,0.30121,0.60001,0.85883,0.004357,0.004357,0.004357
173,3383.4,0.26205,0.37117,0.88464,0.76735,0.95433,0.76739,0.71561,0.30052,0.59898,0.85935,0.004324,0.004324,0.004324
174,3480.15,0.26234,0.36938,0.88654,0.76693,0.95433,0.76741,0.71539,0.29958,0.60082,0.85894,0.004291,0.004291,0.004291
175,3576.44,0.25855,0.36456,0.88466,0.76655,0.95433,0.76635,0.71426,0.30125,0.5996,0.86146,0.004258,0.004258,0.004258
176,3673.29,0.25741,0.36569,0.88155,0.76222,0.95551,0.76739,0.71493,0.30027,0.60247,0.86016,0.004225,0.004225,0.004225
177,3769.74,0.25668,0.35682,0.88489,0.76233,0.95607,0.76785,0.71586,0.30057,0.60401,0.8616,0.004192,0.004192,0.004192
178,3866.73,0.26277,0.35926,0.88321,0.76176,0.96154,0.76852,0.71473,0.3005,0.60535,0.86267,0.004159,0.004159,0.004159
179,3963.15,0.25539,0.35589,0.88632,0.76176,0.96154,0.76687,0.71449,0.3016,0.60695,0.8644,0.004126,0.004126,0.004126
180,4059.45,0.25704,0.36777,0.88384,0.774,0.94712,0.76788,0.71581,0.29802,0.60766,0.86111,0.004093,0.004093,0.004093
181,4155.64,0.2561,0.3629,0.88801,0.7681,0.94471,0.76648,0.71664,0.2978,0.60632,0.86063,0.00406,0.00406,0.00406
182,4251.71,0.25734,0.36035,0.88135,0.77356,0.94712,0.76782,0.71741,0.29703,0.60649,0.8607,0.004027,0.004027,0.004027
183,4347.72,0.25487,0.36243,0.88003,0.77356,0.94712,0.76665,0.71611,0.29737,0.60715,0.86106,0.003994,0.003994,0.003994
184,4444.11,0.24824,0.35696,0.87908,0.77319,0.94712,0.76811,0.71595,0.29623,0.60875,0.86063,0.003961,0.003961,0.003961
185,4540.36,0.2498,0.35633,0.88174,0.77286,0.94712,0.76773,0.71791,0.2955,0.60813,0.85964,0.003928,0.003928,0.003928
186,4636.45,0.25335,0.3546,0.87893,0.77317,0.94712,0.76839,0.71754,0.29258,0.60993,0.85608,0.003895,0.003895,0.003895
187,4732.98,0.25019,0.35701,0.87837,0.77338,0.94712,0.76837,0.71797,0.29187,0.60992,0.85652,0.003862,0.003862,0.003862
188,4829.18,0.24831,0.35194,0.88021,0.77362,0.94712,0.76864,0.71787,0.29143,0.61263,0.85642,0.003829,0.003829,0.003829
189,4926.08,0.24589,0.35918,0.87724,0.77334,0.94712,0.76722,0.71683,0.29247,0.61449,0.85872,0.003796,0.003796,0.003796
190,5022.57,0.24685,0.3501,0.87878,0.7693,0.94712,0.76791,0.71715,0.29142,0.61494,0.8581,0.003763,0.003763,0.003763
191,5118.78,0.24157,0.34998,0.87821,0.76922,0.94712,0.76759,0.71608,0.29141,0.61396,0.8564,0.00373,0.00373,0.00373
192,5215.04,0.24286,0.3502,0.8777,0.76898,0.94712,0.76877,0.71594,0.29241,0.61396,0.85921,0.003697,0.003697,0.003697
193,5312.01,0.24475,0.34916,0.88038,0.7691,0.94712,0.7687,0.7153,0.29311,0.61546,0.85955,0.003664,0.003664,0.003664
194,5408.23,0.24079,0.35649,0.87722,0.76881,0.94712,0.76705,0.71391,0.29227,0.61656,0.85771,0.003631,0.003631,0.003631
195,5504.48,0.2475,0.35782,0.877,0.76902,0.94712,0.76749,0.71556,0.29275,0.61685,0.85913,0.003598,0.003598,0.003598
196,5601.26,0.23732,0.34482,0.87549,0.76809,0.94712,0.76727,0.71449,0.29288,0.61583,0.85906,0.003565,0.003565,0.003565
197,5697.78,0.24372,0.34822,0.87842,0.7681,0.94712,0.7673,0.71603,0.29174,0.61676,0.85712,0.003532,0.003532,0.003532
198,5794.16,0.24196,0.34199,0.87704,0.76445,0.94712,0.7674,0.71506,0.29088,0.61841,0.85576,0.003499,0.003499,0.003499
199,5890.38,0.237,0.34726,0.87452,0.76438,0.94712,0.76784,0.71632,0.29126,0.61955,0.8564,0.003466,0.003466,0.003466
200,5987.23,0.23813,0.34611,0.87296,0.76469,0.94712,0.76713,0.7153,0.29323,0.62013,0.85842,0.003433,0.003433,0.003433
201,6083.76,0.23804,0.34438,0.8732,0.7646,0.94712,0.76597,0.71456,0.29241,0.6209,0.85772,0.0034,0.0034,0.0034
202,6180.11,0.23866,0.34487,0.87628,0.76434,0.94712,0.76674,0.71593,0.29219,0.62198,0.8574,0.003367,0.003367,0.003367
203,6276.91,0.23427,0.34164,0.87383,0.76437,0.94712,0.76652,0.71599,0.2908,0.62232,0.85589,0.003334,0.003334,0.003334
204,6373.43,0.23677,0.33955,0.8745,0.76442,0.94712,0.76701,0.71569,0.28987,0.62436,0.85551,0.003301,0.003301,0.003301
205,6469.88,0.23809,0.34436,0.87384,0.76447,0.94712,0.76709,0.71506,0.292,0.62253,0.85829,0.003268,0.003268,0.003268
206,6566.46,0.23373,0.34257,0.87564,0.76448,0.94712,0.76744,0.71702,0.29035,0.62268,0.85611,0.003235,0.003235,0.003235
207,6662.74,0.23776,0.34552,0.87639,0.76454,0.94712,0.76699,0.71704,0.28924,0.62912,0.85467,0.003202,0.003202,0.003202
208,6758.69,0.23303,0.33665,0.8724,0.76459,0.94712,0.76881,0.71646,0.28814,0.6296,0.85431,0.003169,0.003169,0.003169
209,6855.56,0.23034,0.33133,0.87321,0.76466,0.94712,0.76825,0.71574,0.28807,0.62868,0.85461,0.003136,0.003136,0.003136
210,6952.24,0.23033,0.34204,0.87305,0.76469,0.94712,0.76869,0.71629,0.2881,0.62821,0.85511,0.003103,0.003103,0.003103
211,7048.61,0.22957,0.34053,0.87361,0.76467,0.94712,0.76887,0.71644,0.28848,0.62718,0.85616,0.00307,0.00307,0.00307
212,7145.22,0.23051,0.33657,0.87485,0.76476,0.94712,0.76859,0.71669,0.28848,0.6257,0.85673,0.003037,0.003037,0.003037
213,7241.74,0.22681,0.34038,0.87083,0.76485,0.94712,0.76949,0.71767,0.28798,0.62333,0.85693,0.003004,0.003004,0.003004
